IPM Region,State,Resource Class,Capacity Factor (2021-2054),,
ERC_PHDL,TX,6,22%,,
,,7,23%,,
ERC_REST,TX,5,18%,,
,,6,20%,,
,,7,22%,,
ERC_WEST,TX,6,22%,,
,,7,24%,,
,,8,24%,,
FRCC,FL,5,19%,,
,,6,20%,,
,,7,22%,,
MIS_AMSO,LA,5,19%,,
,,6,20%,,
MIS_AR,AR,4,17%,,
,,5,18%,,
MIS_D_MS,MS,5,18%,,
,,6,19%,,
MIS_IA,IA,3,17%,,
,,4,17%,,
,MN,3,17%,,
,,4,17%,,
MIS_IL,IL,4,18%,,
,,5,18%,,
MIS_INKY,IN,3,16%,,
,,4,17%,,
,KY,4,17%,,
,,5,18%,,
MIS_LA,LA,5,18%,,
,,6,19%,,
MIS_LMI,MI,3,16%,,
,,4,17%,,
MIS_MAPP,MT,3,16%,,
,,4,18%,,
,ND,3,16%,,
,,4,18%,,
,SD,3,16%,,
,,4,18%,,
MIS_MIDA,IA,3,17%,,
,,4,17%,,
MIS_MNWI,MI,3,16%,,
,MN,3,16%,,
,,4,17%,,
,SD,3,16%,,
,,4,17%,,
,WI,3,16%,,
,,4,17%,,
MIS_MO,IA,4,17%,,
,MO,4,17%,,
,,5,18%,,
MIS_WOTA,LA,5,18%,,
,,6,20%,,
,TX,5,18%,,
MIS_WUMS,MI,3,17%,,
,WI,3,17%,,
,,4,17%,,
NENG_CT,CT,3,16%,,
,,4,16%,,
NENG_ME,ME,3,15%,,
,,4,17%,,
NENGREST,MA,3,16%,,
,,4,16%,,
,NH,3,16%,,
,RI,3,16%,,
,,4,16%,,
,VT,3,16%,,
NY_Z_A,NY,3,15%,,
NY_Z_B,NY,3,15%,,
NY_Z_C&E,NY,3,15%,,
NY_Z_D,NY,3,15%,,
NY_Z_F,NY,3,15%,,
NY_Z_G-I,NY,3,16%,,
,,4,16%,,
NY_Z_J,NY,3,16%,,
,,4,17%,,
NY_Z_K,NY,3,16%,,
,,4,18%,,
PJM_AP,MD,3,15%,,
,,4,17%,,
,PA,3,15%,,
,,4,17%,,
,VA,4,17%,,
,WV,3,15%,,
,,4,17%,,
PJM_ATSI,OH,3,16%,,
,,4,17%,,
,PA,3,16%,,
PJM_COMD,IL,3,17%,,
,,4,17%,,
PJM_Dom,NC,4,17%,,
,,5,18%,,
,VA,4,17%,,
,,5,18%,,
PJM_EMAC,DE,4,17%,,
,MD,4,17%,,
,,5,19%,,
,NJ,3,16%,,
,,4,17%,,
,PA,3,16%,,
,,4,17%,,
,VA,4,17%,,
,,5,19%,,
PJM_PENE,PA,3,15%,,
,,4,16%,,
PJM_SMAC,DC,4,17%,,
,MD,4,17%,,
PJM_West,IN,3,16%,,
,,4,16%,,
,KY,4,16%,,
,MI,3,16%,,
,,4,16%,,
,OH,3,16%,,
,,4,16%,,
,TN,4,16%,,
,VA,4,16%,,
,,5,18%,,
,WV,3,16%,,
,,4,16%,,
PJM_WMAC,PA,3,16%,,
,,4,16%,,
S_C_KY,KY,4,17%,,
S_C_TVA,AL,4,17%,,
,,5,18%,,
,GA,4,17%,,
,,5,18%,,
,IL,4,17%,,
,KY,4,17%,,
,,5,18%,,
,MS,5,18%,,
,NC,4,17%,,
,,5,18%,,
,TN,4,17%,,
,,5,18%,,
,VA,4,17%,,
S_D_AECI,MO,4,17%,,
,,5,18%,,
S_SOU,AL,5,18%,,
,,6,20%,,
,FL,5,18%,,
,,6,20%,,
,GA,4,17%,,
,,5,18%,,
,,6,20%,,
,MS,5,18%,,
,,6,20%,,
S_VACA,GA,5,18%,,
,NC,4,17%,,
,,5,18%,,
,SC,5,18%,,
SPP_N,KS,4,18%,,
,,5,19%,,
,,6,21%,,
,MO,4,18%,,
,,5,19%,,
SPP_NEBR,KS,4,18%,,
,,5,19%,,
,NE,4,18%,,
,,5,19%,,
SPP_SPS,NM,6,22%,,
,,7,24%,,
,OK,6,22%,,
,TX,6,22%,,
,,7,24%,,
SPP_WAUE,MN,3,17%,,
,MT,3,17%,,
,,4,18%,,
,ND,3,17%,,
,,4,18%,,
,SD,3,17%,,
,,4,18%,,
,,5,19%,,
SPP_WEST,AR,4,18%,,
,,5,18%,,
,LA,5,18%,,
,MO,4,18%,,
,,5,18%,,
,OK,4,18%,,
,,5,18%,,
,,6,21%,,
,TX,5,18%,,
,,6,21%,,
WEC_BANC,CA,5,20%,,
,,6,21%,,
WEC_CALN,CA,3,15%,,
,,4,16%,,
,,5,20%,,
,,6,21%,,
,,7,23%,,
WEC_LADW,CA,5,21%,,
,,6,24%,,
,,7,24%,,
,,8,25%,,
WEC_SDGE,CA,6,21%,,
,,7,23%,,
,,8,24%,,
WECC_AZ,AZ,6,23%,,
,,7,24%,,
,,8,24%,,
WECC_CO,CO,4,19%,,
,,5,20%,,
,,6,21%,,
,,7,23%,,
WECC_ID,ID,3,15%,,
,,4,18%,,
,,5,20%,,
WECC_IID,CA,7,24%,,
,,8,24%,,
WECC_MT,MT,3,16%,,
,,4,17%,,
WECC_NM,NM,5,21%,,
,,6,22%,,
,,7,24%,,
,,8,24%,,
,TX,7,24%,,
,,8,24%,,
WECC_NNV,NV,4,19%,,
,,5,20%,,
,,6,22%,,
,,7,24%,,
WECC_PNW,CA,3,15%,,
,,4,17%,,
,,5,19%,,
,ID,3,15%,,
,,4,17%,,
,,5,19%,,
,OR,3,15%,,
,,4,17%,,
,,5,19%,,
,WA,3,15%,,
,,4,17%,,
WECC_SCE,CA,5,20%,,
,,6,22%,,
,,7,24%,,
,,8,25%,,
WECC_SNV,NV,7,24%,,
WECC_UT,UT,3,15%,,
,,4,17%,,
,,5,19%,,
,,6,22%,,
,,7,23%,,
WECC_WY,NE,5,20%,,
,SD,4,18%,,
,,5,20%,,
,WY,3,16%,,
,,4,18%,,
,,5,20%,,
CN_AB,AB,2,15%,,
CN_BC,BC,2,15%,,
CN_MB,MB,2,16%,,
CN_NS,NS,2,15%,,
CN_ON,ON,2,17%,,
,,3,18%,,
CN_PQ,PQ,2,16%,,
CN_SK,SK,2,16%,,
